HY,ACG,HR,HS,AwayTeam,HO,HC,HF,AST,HST,Date,AC,AF,FTHG,AO,AS,AR,HCG,AY,HHW,HomeTeam,AHW,FTAG
3,0,0,18,IFK Norrköping FK,3,6,9,3,11,02/04/16,3,10,3,2,11,0,0,2,1,Malmö FF,0,1
0,0,0,7,Jönköpings Södra IF,0,7,9,6,4,02/04/16,4,11,0,4,8,0,0,3,0,Kalmar FF,0,1
1,0,0,12,GIF Sundsvall,1,6,5,4,4,03/04/16,2,7,1,3,7,0,0,1,0,AIK,0,1
4,0,1,11,IF Elfsborg,1,1,13,10,7,03/04/16,5,12,2,1,17,0,0,2,0,BK Häcken,1,1
2,0,0,6,Helsingborgs IF,4,3,8,4,3,03/04/16,3,10,1,0,9,0,0,1,0,Gefle IF FF,0,1
2,0,0,9,IFK Göteborg,2,5,15,8,2,03/04/16,8,9,0,5,12,0,0,2,0,Falkenbergs FF,0,2
2,1,0,13,Djurgården,2,6,10,10,5,03/04/16,10,12,0,2,18,0,0,0,0,Örebro,0,2
4,0,0,11,Östersunds FK,0,4,13,5,4,04/04/16,7,7,1,4,12,0,0,3,1,Hammarby,1,1
2,0,0,7,BK Häcken,3,9,10,6,4,06/04/16,5,12,1,2,10,0,0,2,0,IFK Göteborg,1,0
2,0,0,7,Kalmar FF,2,12,10,3,6,06/04/16,6,12,4,3,7,0,0,2,0,IFK Norrköping FK,0,1
3,0,1,6,Malmö FF,2,2,14,8,4,06/04/16,3,12,3,1,9,0,0,2,1,Jönköpings Södra IF,0,2
0,0,0,17,Falkenbergs FF,6,7,6,3,10,07/04/16,5,7,5,0,4,0,1,2,0,Djurgården,0,0
0,0,1,8,Gefle IF FF,3,5,5,8,3,07/04/16,3,7,1,3,11,0,0,1,0,GIF Sundsvall,0,2
2,0,0,13,Örebro,0,3,14,5,8,07/04/16,3,11,1,5,14,0,1,1,0,Helsingborgs IF,0,3
0,0,0,9,Hammarby,1,1,16,3,4,07/04/16,8,11,4,4,10,0,0,2,0,IF Elfsborg,0,1
1,0,0,9,AIK,2,6,9,5,3,07/04/16,6,20,0,1,10,0,0,4,0,Östersunds FK,0,2
0,0,0,10,IFK Norrköping FK,3,3,9,8,5,09/04/16,4,14,1,0,13,0,0,3,0,BK Häcken,1,2
1,0,0,8,Djurgården,3,4,9,4,4,10/04/16,10,9,1,4,12,0,0,2,0,Gefle IF FF,1,2
1,0,0,16,Helsingborgs IF,5,5,10,2,6,10/04/16,3,12,5,2,5,0,0,1,1,Hammarby,0,1
3,0,0,11,Östersunds FK,0,3,23,3,7,10/04/16,4,12,1,2,4,0,0,0,0,Falkenbergs FF,0,2
